pack_type,canonical_name,parent_country,parent_region,scope,knowledge_short_en,knowledge_full_en,signature_varieties_or_styles,signature_regions_or_appellations,house_or_category_traits,use_cases,validation_status,confidence_level,source_basis,source_priority,source_urls,last_reviewed,notes
region,Champagne,France,,sparkling_wine,"Champagne is the world's most prestigious sparkling wine region, defined by traditional-method wines from Chardonnay, Pinot Noir, and Meunier.","Champagne sits in northern France, where a cool climate and chalk-rich soils support wines of acidity, tension, and finesse. Traditional bottle fermentation is mandatory, and house style often depends on blending across villages, vintages, and grape varieties. Blanc de Blancs, Blanc de Noirs, and rose Champagne all play important roles. Prestige cuvees and grower Champagnes together define the region's depth.","Chardonnay, Pinot Noir, Pinot Meunier, Blanc de Blancs, Prestige Cuvee","Montagne de Reims, Cote des Blancs, Vallee de la Marne, Aube","traditional method, acidity, chalk, autolytic complexity","region pages, sparkling education, luxury retail content",expert_seed,A,expert_authored,"official_region, CIVC",,2026-04-15,Core sparkling wine region pack.
region,Chianti Classico,Italy,Tuscany,wine,"Chianti Classico is Tuscany's historic Sangiovese heartland, known for savory red fruit, freshness, and food-friendly structure.","Chianti Classico sits between Florence and Siena and is one of Italy's most important red wine zones. Sangiovese is the dominant grape, producing wines with cherry fruit, herbs, acidity, and tannic structure that suit the table as much as the cellar. Quality tiers such as Riserva and Gran Selezione add hierarchy. The black rooster remains one of the strongest symbols in Italian wine.","Sangiovese, Chianti Classico Riserva, Gran Selezione",Chianti Classico,"savory fruit, acidity, tannin, gastronomy","region pages, Tuscany context, Italian wine education",expert_seed,A,expert_authored,consorzio,,2026-04-15,Core Tuscan subregional pack.
region,Colchagua Valley,Chile,,wine,"Colchagua Valley is one of Chile's leading red wine regions, especially strong in Cabernet Sauvignon, Carmenere, Syrah, and Merlot.","Colchagua has become one of Chile's most reliable premium red wine regions, combining ripe fruit with enough freshness to keep wines balanced. Cabernet Sauvignon and Carmenere are especially important, but Syrah and Merlot also perform well. The valley's warm but moderated conditions support generous texture and polished tannins. It is a key region for value-driven premium Chilean reds.","Cabernet Sauvignon, Carmenere, Merlot, Syrah",Colchagua Valley,"ripe fruit, soft tannin, polish, value","region pages, Chile context, premium value guidance",expert_seed,A,expert_authored,official_region,,2026-04-15,Core Chilean region pack.
region,Coonawarra,Australia,South Australia,wine,"Coonawarra is famed for Cabernet Sauvignon grown on terra rossa soils, producing structured reds with cassis, mint, and longevity.","Coonawarra is one of Australia's classic Cabernet Sauvignon regions, strongly associated with its iron-rich terra rossa soils over limestone. The best wines combine blackcurrant fruit with bay leaf, mint, cedar, and fine tannin, often with real aging potential. Shiraz and Merlot also play supporting roles, but Cabernet defines the district. It remains a key benchmark for Australian classicism over sheer power.","Cabernet Sauvignon, Shiraz, Merlot",Coonawarra,"cassis, mint, structure, ageability","region pages, Australia context, Cabernet education",expert_seed,A,expert_authored,official_region,,2026-04-15,Core Australian region pack.
region,Islay,Scotland,,whisky,"Islay is Scotland's best-known smoky whisky region, associated with peat, sea spray, medicinal intensity, and powerful coastal malts.","Islay is famed for peated single malts, though styles vary more than the stereotype suggests. Many bottlings show smoke, iodine, seaweed, citrus, and maritime salinity, while some distilleries emphasize cleaner, fruitier, or more elegant peat expression. The island's coastal setting is integral to its identity. For many drinkers, Islay defines the most dramatic side of Scotch whisky.","Peated Scotch, smoky single malt","Ardbeg, Laphroaig, Lagavulin, Bowmore, Bruichladdich","peat, smoke, coastal character, intensity","whisky education, region pages, style explanation",expert_seed,A,expert_authored,"distillery_official, scotch_whisky_association",,2026-04-15,Core Scotch region pack.
region,Jalisco,Mexico,,tequila,"Jalisco is the heartland of tequila, where blue agave, production method, and aging style define one of the world's most important spirits categories.","Jalisco is the principal home of tequila and the region most closely associated with the spirit's global identity. Highland and valley growing areas can shape different agave profiles, with some styles leaning brighter and more floral while others show more earth and spice. Blanco, reposado, and anejo expressions all begin with blue Weber agave, but barrel maturation changes texture and flavor. Jalisco is essential to understanding premium tequila.","Blanco Tequila, Reposado Tequila, Anejo Tequila","Los Altos, Tequila Valley","agave purity, regional distinction, barrel impact","spirits taxonomy, tequila education, premium agave context",expert_seed,A,expert_authored,"CRT, official_brand",,2026-04-15,Core tequila geography pack.
region,Maipo Valley,Chile,,wine,"Maipo Valley is Chile's classic Cabernet Sauvignon region, known for structured reds with cassis fruit, freshness, and polish.","Maipo is one of Chile's most established wine regions and remains especially important for Cabernet Sauvignon. The region's wines often show cassis, herbs, cedar, and a firmer structure than warmer Chilean zones, giving them a more classic profile. Bordeaux varieties dominate the premium category here. Maipo is often the reference point for Chilean Cabernet in serious retail assortments.","Cabernet Sauvignon, Merlot, Cabernet Franc",Maipo Valley,"structure, cassis, polish, freshness","region pages, Chile context, Cabernet guidance",expert_seed,A,expert_authored,official_region,,2026-04-15,Core Chilean region pack.
region,Marlborough,New Zealand,,wine,"Marlborough is New Zealand's most famous wine region, known worldwide for vivid Sauvignon Blanc and increasingly strong Pinot Noir.","Marlborough transformed New Zealand's global wine image through Sauvignon Blanc marked by citrus, passion fruit, cut grass, and bright acidity. Pinot Noir and Chardonnay have also become increasingly important, often in a fresh, pure-fruited style. A sunny but cool climate helps preserve aromatic intensity. It remains one of the clearest examples of a region defined by varietal signature.","Sauvignon Blanc, Pinot Noir, Chardonnay","Wairau Valley, Awatere Valley","aromatics, freshness, varietal clarity","region pages, white wine guidance, New Zealand context",expert_seed,A,expert_authored,official_region,,2026-04-15,Core New Zealand region knowledge pack.
region,Montalcino,Italy,Tuscany,wine,"Montalcino is the home of Brunello, producing some of Italy's longest-lived and most structured Sangiovese wines.","Montalcino is centered on Sangiovese grown under the local identity of Brunello. Compared with many Chianti wines, Brunello di Montalcino is typically deeper, broader, and more age-worthy, while Rosso di Montalcino offers a more immediate expression of the same terroir. Altitude, exposition, and soil variation create meaningful stylistic differences across the zone. It is one of Tuscany's most prestigious appellations.","Brunello di Montalcino, Rosso di Montalcino, Sangiovese",Montalcino,"structure, ageability, concentration, prestige","region pages, Tuscany context, premium red wine guidance",expert_seed,A,expert_authored,consorzio,,2026-04-15,Core Tuscan subregional pack.
region,Mosel,Germany,,wine,"Mosel is one of Germany's most celebrated Riesling regions, prized for slate-driven wines of precision, acidity, and elegance.","The Mosel is famous for steep vineyard slopes and a cool climate that allows Riesling to ripen slowly while retaining vivid acidity. Styles range from bone dry to delicately sweet, often with floral aromatics, citrus, stone fruit, and marked mineral tension. Alcohol levels can remain relatively low, adding lift and finesse. It is a benchmark region for aromatic white wine.","Riesling, Kabinett, Spatlese, trocken",Mosel,"slate, acidity, delicacy, minerality","region pages, white wine education, German wine guidance",expert_seed,A,expert_authored,official_region,,2026-04-15,Core German region knowledge pack.
region,Napa Valley,USA,,wine,"Napa Valley is America's most famous fine wine region, especially known for Cabernet Sauvignon, Chardonnay, and polished estate wines.","Napa Valley built its global reputation on ripe, structured Cabernet Sauvignon, but it also produces important Chardonnay, Merlot, Sauvignon Blanc, and sparkling wine. Warm days and cooler nights help preserve balance, while sub-appellations such as Oakville, Rutherford, and Stags Leap District each bring different nuances. The region is closely associated with estate-driven premium wine and luxury hospitality. It remains the leading benchmark for fine wine in the United States.","Cabernet Sauvignon, Chardonnay, Merlot, Sauvignon Blanc","Oakville, Rutherford, Stags Leap District, Howell Mountain","ripe fruit, polish, oak integration, premium positioning","region pages, premium retail copy, American wine context",expert_seed,A,expert_authored,"official_region, AVA sources",,2026-04-15,Core New World region knowledge pack.
region,Piedmont,Italy,,wine,"Piedmont is one of Italy's noblest wine regions, best known for Nebbiolo in Barolo and Barbaresco, as well as Barbera and Moscato.","Piedmont is defined by Nebbiolo, a grape capable of producing some of Italy's most age-worthy and aromatic reds. Barolo and Barbaresco are the region's most famous appellations, while Barbera, Dolcetto, and Moscato add range and accessibility. Fog, slopes, and calcareous soils contribute to the region's structure and perfume. Piedmont combines seriousness, tradition, and strong appellation identity.","Nebbiolo, Barbera, Dolcetto, Moscato d'Asti","Barolo, Barbaresco, Langhe, Asti, Roero","tannin, perfume, ageability, appellation focus","region pages, Italian wine education, premium red wine context",expert_seed,A,expert_authored,"official_region, consorzio",,2026-04-15,Core Italian region knowledge pack.
region,Rioja,Spain,,wine,"Rioja is Spain's most famous fine wine region, known for Tempranillo-based reds shaped by oak aging and long tradition.","Rioja is defined by Tempranillo and by a maturing tradition that helped shape modern Spanish fine wine. Crianza, Reserva, and Gran Reserva categories remain important to how the region is bought and understood, though fresher terroir-led styles are increasingly visible. Red wine dominates, but Rioja also produces important white and rose wines. It balances familiarity, drinkability, and cellar potential.","Tempranillo, Reserva, Gran Reserva, Rioja Blanco","Rioja Alta, Rioja Alavesa, Rioja Oriental","oak aging, red fruit, spice, approachability","region pages, Spanish wine education, taxonomy rewrite",expert_seed,A,expert_authored,official_region,,2026-04-15,Core Spanish region knowledge pack.
region,Speyside,Scotland,,whisky,"Speyside is Scotland's most densely populated whisky region, known for elegant single malts with fruit, honey, vanilla, and sherry-cask influence.","Speyside is often the most approachable introduction to single malt Scotch. Many distilleries here emphasize orchard fruit, honeyed sweetness, cereal softness, and polished oak, though sherried richness can also be prominent. The region's concentration of famous distilleries gives it outsize commercial importance. It remains central to both entry-level and collectible Scotch whisky.","Single Malt Scotch, sherried malt, honeyed malt","Macallan, Glenfiddich, Glenlivet, Aberlour","fruit, honey, vanilla, elegance, accessibility","whisky education, regional taxonomy, customer guidance",expert_seed,A,expert_authored,"distillery_official, scotch_whisky_association",,2026-04-15,Core Scotch region pack.
region,Tuscany,Italy,,wine,"Tuscany is Italy's most famous fine wine region, led by Sangiovese and known for Chianti Classico, Brunello di Montalcino, and Bolgheri.","Tuscany combines historic prestige with stylistic breadth. Sangiovese is the region's defining grape, but styles vary from savory Chianti Classico to the depth of Brunello di Montalcino and the international blends of Bolgheri. Warm days, altitude, and varied soils help preserve both ripeness and structure. It is one of Italy's key regions for cellar-worthy reds and polished estate wines.","Sangiovese, Brunello, Chianti Classico, Super Tuscan","Chianti Classico, Montalcino, Bolgheri, Maremma","savory red fruit, acidity, structure, estate prestige","region pages, Italy taxonomy, product context",expert_seed,A,expert_authored,"official_region, consorzio",,2026-04-15,Core Italian region knowledge pack.
