sku,sku_base,name,classification,wine_color,style,country,region,subregion,appellation,vintage,brand,grape_variety,wine_body,wine_acidity,wine_tannin,flavor_tags,food_matching,overall_confidence,desc_en_short,desc_en_full,bottle_size,price,validation_status,enrichment_priority,quality_score_total,score_completeness,score_description,score_taxonomy,score_consistency,score_enrichment,scope,missing_fields,issues
WSP1091BS,WSP1091,Bottega  Diamond Brut,White Wine,"Brilliant, fine and very persistent perlage. Straw yellow",,Italy,,,,,Bottega,Pinot Noir,Medium,High,Low,"[""oak""]",Fish|Seafood,0.714,Bottega Diamond is a sparkling Pinot Noir produced according to the long Charmat method. The precious bottle is embellished with a series of small brilliants representing the name Bottega and the brand Cantina dei Poeti.,Bottega Diamond is a sparkling Pinot Noir produced according to the long Charmat method. The precious bottle is embellished with a series of small brilliants representing the name Bottega and the brand Cantina dei Poeti. The grapes are manually harvested in wooden cases and vinified in white (must and skins are separated). Fermentation occurs at a controlled temperature of 18° C. The wine obtained goes through the sparkling process which takes place in autoclave at 14/15° C for at least 3 months and with daily agitation of product. It is then stabilized for a week at a temperature of -5° C and finally filtered and bottled.,,1689,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WSP1143AE,WSP1143,Follador  Laelia Rosé Millesimato DOC,Rose Wine,"Pale pink, medium intensity, bright.",,Italy,,,,,Follador,Glera,Light,High,Low,"[""fruit""]",Fish|Seafood|Vegetables,0.818,"It has an intense aroma of fruit, especially apple and white peach, with pleasant notes of red fruits, blackberries, wild strawberries and blackcurrants. It is an excellent accompaniment to any aperitif and interesting when paired with sliced meats, cured meats in general and mature cheeses.","<div class=""prod-desc"">
<p>A delightful sparkling wine that is fresh and lively on the palate, a Millesimato with a pale yet brilliant pink colour, well-structured and lingering, made from Glera grapes with 10% Pinot Nero. The base wines are obtained from grapes which are cryomacerated according to the Gianfranco Follador Method® with fermentation in steel tanks at controlled temperature. The Pinot Nero is produced using “on-the-skins” vinification in accordance with the regulations. Secondary fermentation takes place in autoclaves with the Martinotti-Charmat method with steady fermentation and at least two months on the yeasts at 0°.</p>
</div>",,1049,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WSP1187FC,WSP1187,Laurent Perrier  Cuvee Rose,Rose Wine,Vivid orange-pink.,,France,,,,,Laurent Perrier,Pinot Noir,Full,High,Low,"[""fruit"",""herbal"",""earth"",""floral"",""mineral""]",Fish|Seafood,0.714,"This refreshing bubbly made from Pinot Noir grapes displays aromas of raspberry, redcurrant, flint, sour cherry and citrus. Made for fine dining, it will delight with rack of lamb with rosemary and garlic","Elegant and fruity at the same time with a quick invitation from bright, pure cherryish notes and then filled out handsomely by whiffs of chalky soils and well-integrated, rich and uplifting yeast-driven scents, this wine manages to be both vigorous and layered at one and the same time. Its bubbles are insistent, finely carved and add to the early sensations of lightness and energy yet also carry the wine long into a balanced, refined finish. And its latter palate grip is exactly what one should expect from the genre. While service with light foods would be our first choice, this one has the beauty to stand alone.",,5869,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WSP1273AC,WSP1273,Freixenet  Cordon Rosado Brut (200 ml),Rose Wine,bright strawberry in colour with plenty of bubbles,,Spain,,,,,Freixenet,Grenache,Light,High,Low,"[""fruit"",""oak""]",Fish|Seafood|Dessert,0.818,"<p><span style=""color: #ff0000;""><strong>*Minimum Qty Allowed in Shopping Cart 12 Bottles.</strong></span></p>
<p>Cordon Negro Rosé's bright, fruity personality envelops the senses in the glass with fresh raspberry and fruit cocktail aromas. The toasty palate mixes strawberry jam and red currant to deliver a pleasant mouth feel, wrapped up in a slow, light, sweet finish.</p>","<div class=""prod-desc"">
<p>Freixenet Cordon Rosado</p>
<p>Cordon Rosado is the vibrant pink partner of Freixenet's famous Cordon Negro. Two charming Spanish red grape varieties, Trepat and Garnacha, give Cordon Rosado its subtle hue.</p>
<p>Expect a pop of summer fruits in every sip, and indulge in the bubbles of juicy blackberries and mouth-watering strawberries. Perfect companion to picnics, afternoon teas and BBQ's. Why not try a glass of this sweet Spanish sparkler with some cheese or a lip puckering paella.</p>
</div>",,249,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WSP1275BN,WSP1275,Taittinger  Prestige Rose,Rose Wine,Intense and brilliant body is bright pink in colour.,,France,,,,,Taittinger,Chardonnay,Full,High,Low,"[""fruit""]",Fish|Seafood|Dessert,0.778,"<p>Taittinger Prestige Rosé immediately stands out for its intense, shimmering hue whose secret lies in the fact that it is a blend, which is more complex and costly to produce. A quantity of still red wine (15%) produced from the best Pinot Noirs from Montagne de Reims and Les Riceys is in fact added to the final blend, to give this cuvée its unmistakable colour and vibrant intensity on the palate. The high proportion of Chardonnay (30%) that completes the blend brings the elegance and delicacy that underpin Taittinger’s signature style.</p>","<div class=""prod-desc"">
<p>Tasting notes :</p>
<p>The intense and brilliant body is bright pink in colour. The bubbles are fine, and the mousse persistent. The full nose, wonderfully expressive, is both fresh and young. It gives off aromas of red fruits (freshly crushed wild raspberry, cherry, blackcurrant). On the palate, this wine strikes a fine balance of velvety and full-bodied. The flavours are reminiscent of fresh, crisp red fruits. The palate can be summed up in four words: lively, fruity, fresh and elegant, as only a rosé blend can be.</p>
<p>Drinking suggestions :</p>
<p>Taittinger Prestige Rosé can be enjoyed both early on and at the end of an evening. Deliciously fragranced for an aperitif, it is also a subtle accompaniment to fruit desserts, including fruit tart, fruit salad and red fruit crumble.</p>
</div>",,3489,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WSP5752EI,WSP5752,French Bloom  Le Rose Organic French Bubbly (375 ml) (Alcohol-Free),Rose Wine,,,France,,,,,French Bloom,Chardonnay,Light,Medium,Low,"[""fruit"",""floral"",""mineral""]",Fish|Seafood,0.778,"<p>With a well-balanced complexity, the Rosé oscillates between minerality and freshness to reveal at its heart a true floral bouquet with vibrant notes. A majestic burst of rose petals meets the acidity of freshly picked red fruit, combined with notes of dry white peach. French Bloom's signature French Chardonnay wine accents with a touch of Pinot-Noir are enhanced by these bright, sparkling aromas.</p>
<p><strong>TASTING NOTES</strong></p>
<p>Rose petals - Red Fruits - White Peach</p>
<p><strong>2023 WORLD SPARKLING AWARDS</strong></p>
<p>World's Best AF Sparkling Winner</p>","<div class=""prod-desc"">
<p>INGREDIENTS</p>
<p>De-alcoholized organic wine, French Sparkling Gensac, organic grape juice, organic lemon juice, organic natural flavors.</p>
<p>WELLNESS INFORMATION</p>
<p>Certified Vegan - Halal</p>
<p>Made with Certified Organic French Wines</p>
<p>0.0% Alcohol</p>
<p>Pregnant-friendly</p>
<p>Low Calorie</p>
<p>Sulfite-Free</p>
<p>Gluten-Free</p>
<p>No preservatives</p>
<p>No sugar added, 4,2g/ 100ml</p>
</div>",,1199,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW0053AD,WWW0053,"Zonin  ""Classico"" Pinot Grigio",White Wine,Appealing straw-yellow color green with delicate reflections.,Pinot Gris,Italy,,,,,Zonin,Pinot Grigio,Medium,High,Low,"[""herbal""]",Mushroom|Soft Cheese|Seafood|Vegetables,0.847,"Appealing straw-yellow color green with delicate reflections. Delicately fruity, relatively full and ample with an ensemble of aromas of great finesse. Lightly dry yet extremely fresh. Its pleasantly balanced and elegant structure makes this an unusually refined and aristocratic wine. It combines well with white meats, and steamed or grilled fish. In addition, it makes a fine aperitif and is highly suited to every occasion outside meals.","<div class=""prod-desc"">
<p>VINIFICATION</p>
<p>The grapes are subjected to a delicate crush and soft pressing with the use of presses operating under vacuum. Fermentation occurs at a controlled temperature of about 64&deg;F, which preserves the fruitiness and the finest sensory characteristics of the wine. Injection of selected yeasts guarantees maximum quality of the wine's aromas and flavors.</p>
</div>",,699,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW0110AA,WWW0110,Baron Philippe de Rothschild  Mapu Reserva Chardonnay,White Wine,Straw yellow.,Chardonnay,France,,,,,Baron Philippe de Rothschild,Chardonnay,Medium,Medium,Low,"[""fruit"",""oak""]",Chicken|Fish|Seafood|Vegetables,0.847,"The Mapu Reserva Chardonnay is fruit driven and up front in style with fresh melon and soft apple fruit flavours. Medium bodied - good quality. Great with asparagus, grilled scallop skewers, smoked salmon, trout.","<div class=""prod-desc"">
<p>The Mapu Reserva Chardonnay is fruit driven and up front in style with fresh melon and soft apple fruit flavours. Medium bodied - good quality. Great with asparagus, grilled scallop skewers, smoked salmon, trout.</p>
</div>",,649,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW0180AD,WWW0180,Catena Zapata  Alamos Chardonnay,White Wine,A straw-yellow color with light shades of green.,Chardonnay,Argentina,,,,,Catena Zapata,Chardonnay,Medium,Medium,Low,"[""fruit"",""spice"",""herbal"",""oak"",""floral""]",Chicken|Fish|Seafood|Vegetables,0.847,"Alamos Chardonnay shows a straw-yellow color with light shades of green. The nose offers ripe tropical fruit aromas with citrus and floral notes. The mouthfeel is full and rich, with concentrated ripe pear and fig fruit mingled with vanilla and sweet spice oak flavors. The finish is clean and fresh with bright, crisp acidity.","<div class=""prod-desc"">
<p>Alamos Chardonnay shows a straw-yellow color with light shades of green. The nose offers ripe tropical fruit aromas with citrus and floral notes. The mouthfeel is full and rich, with concentrated ripe pear and fig fruit mingled with vanilla and sweet spice oak flavors. The finish is clean and fresh with bright, crisp acidity.</p>
</div>",,719,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW0188AD,WWW0188,Wente Vineyards  Wente Morning Fog Chardonnay,White Wine,Bright yellow,Chardonnay,USA,,,,,Wente Vineyards,Chardonnay,Medium,Medium,Low,"[""spice"",""herbal"",""earth"",""oak"",""mineral""]",Chicken|Fish|Seafood|Vegetables,0.847,"92 Points in Decanter “Morning Fog Chardonnay is an great expression of Livermore Valley Chardonnay, with diverse alluvial fans of soil consistently creating Chardonnay with beautiful and lingering minerality, which coupled with the natural acidity from the long and cool growing season, creates a beautiful wine” - Karl D. Wente, Fifth Generation Winemaker","<div class=""prod-desc"">
<p>Vineyard</p>
<p>Since 1883, five generations of our family have handcrafted fine wines that express the very best of our vineyards and winemaking expertise. Our Estate Grown Morning Fog Chardonnay is named for the morning coastal fog pushed by Pacific wind streams into the bowl of the San Francisco Bay and lured inland by Livermore Valley's unique EastWest orientation. This daily phenomenon moderates the climate to produce excellent, beautifully balanced Chardonnay. Planted on various Wente clones, each vineyard block is farmed and harvested separately which maximizes quality and adds an elegant complexity to the wine. Recognized as ""California's First Family of Chardonnay"", our family was the first in California to produce a varietally labeled Chardonnay in 1936 made from our heritage Wente clones. Today, nearly 80% of the Chardonnay vineyards in California are planted with the Wente clone, which originated from our family's estate.</p>
<p>Winemaking</p>
<p>Fermentation : This wine is fermented in 50% neutral American oak barrels and 50% in stainless steel tanks. The oak provides hints of vanilla and enhances the mouthfeel and the steel preserves the naturally vibrant fruit flavors inherent in this Chardonnay.</p>
<p>Aging : The barrel fermented portion was aged sur lie for 5 months and batonnage, the art of stirring the barrels, was performed monthly. This adds a creamy note to the wine and greatly enhances the texture. From the remaining 50% stainless steel portion, half was aged on lees for 5 months while the other half was racked clean to preserve the fresh fruit character.</p>
</div>",,899,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW0321AD,WWW0321,Craggy Range  Chardonnay Kidnappers Vineyard,White Wine,Straw Yellow,Chardonnay,New Zealand,,,,,Craggy Range,Chardonnay,Medium,Medium,Low,"[""mineral""]",Chicken|Fish|Seafood|Vegetables,0.847,"Shows lemon zest, almond, and mineral aromas and flavors, with a coastal acidity and freshness. This medium-weight, textured wine has a remarkable length of flavor. Pairs perfectly with a variety of shellfish dishes.","<div class=""prod-desc"">
<p>Shows lemon zest, almond, and mineral aromas and flavors, with a coastal acidity and freshness. This medium-weight, textured wine has a remarkable length of flavor. Pairs perfectly with a variety of shellfish dishes.</p>
</div>",,1079,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW0379AD,WWW0379,Two Oceans  Sauvignon Blanc,White Wine,Collecting color data,Sauvignon Blanc,South Africa,,,,,Two Oceans,Sauvignon Blanc,Medium,High,Low,"[""fruit"",""herbal""]",Fish|Seafood|Spicy Food|Vegetables,0.847,"<p><span style=""color: #ff0000;""><strong>*Minimum Qty Allowed in Shopping Cart 3 Bottles.</strong></span></p>
<p>Crisp, fresh and elegant with upfront tropical fruit, tangy gooseberry, a hint of green fig and fresh-cut grass. This wine has become a favourite in 80 countries. Pair it with grilled seafood, bouillabaisse, pasta and poultry dishes.</p>","<div class=""prod-desc"">
<p>Crisp, fresh and elegant with upfront tropical fruit, tangy gooseberry, a hint of green fig and fresh-cut grass. This wine has become a favourite in 80 countries. Pair it with grilled seafood, bouillabaisse, pasta and poultry dishes.</p>
</div>",,489,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW1095AD,WWW1095,Nederburg  Lyric Sauvignon blanc Chenin Blanc Chardonnay,White Wine,Brilliant with green tinges.,Chardonnay,South Africa,,,,,Nederburg,"Sauvignon Blanc, Chenin Blanc, Chardonnay",Medium,High,Low,"[""fruit"",""herbal""]",Seafood|Vegetables,0.847,"This harmonious wine is made from Sauvignon blanc, Chenin blanc and Chardonnay. Crisp and refreshing with aromas of passion fruit and citrus, and hints of freshly-cut grass. Enjoy with seafood, salads, mild Indian curries and Thai noodles.","<div class=""prod-desc"">
<p>This harmonious wine is made from Sauvignon blanc, Chenin blanc and Chardonnay. Crisp and refreshing with aromas of passion fruit and citrus, and hints of freshly-cut grass. Enjoy with seafood, salads, mild Indian curries and Thai noodles.</p>
</div>",,599,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW1151AD,WWW1151,Marques de Caceres  Verdejo,White Wine,Pale straw color.,,Spain,,,,,Marques de Caceres,Verdejo,Light,High,Low,"[""fruit"",""floral""]",Fish|Seafood,0.778,"Pale straw color. Very fresh bouquet with citrus and floral notes. Deliciously refreshing in the mouth with pleasant vivacity and long-lasting flavors. This new addition complements our Marqués de Cáceres range of white wines with an area of production that offers great potential for the future. n ideal wine to relax with as a delicious aperitif or to accompany seafood, grilled fish and shellfish, rice and pasta dishes, etc. Also complements sushi and sashimi dishes.","<div class=""prod-desc"">
<p>Pale straw color. Very fresh bouquet with citrus and floral notes. Deliciously refreshing in the mouth with pleasant vivacity and long-lasting flavors. This new addition complements our Marqués de Cáceres range of white wines with an area of production that offers great potential for the future. n ideal wine to relax with as a delicious aperitif or to accompany seafood, grilled fish and shellfish, rice and pasta dishes, etc. Also complements sushi and sashimi dishes.</p>
</div>",,829,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW1179BS,WWW1179,Cristo Di Campobello  Bianco IGP,White Wine,Wine brilliant golden color.,,Italy,,,,,Cristo Di Campobello,"Grillo, Chardonnay, Insolia",Medium,Medium,Low,"[""fruit"",""herbal"",""earth"",""floral"",""mineral""]",Chicken|Fish|Seafood|Vegetables,0.814,"The wine has an attractive aroma with notes of yellow flowers, melon and honey nuances. Soft, fresh, with balanced acidity, citrus shades and long aftertaste with hints of Mediterranean herbs. Best complements fish and white meat, steamed vegetables and spicy dishes.","C'D'C '(Cristo di Campobello) - It's tempting, refreshing dry white Italian wine created from a blend of varieties Grillo, Chardonnay, Inzolia and Katarrato. The vineyards are located on the hilly expanse of the province of Agrigento, mostly on limestone soils at an altitude of 260 meters above sea level. Stocking density - 4,000 plants per hectare. The crop was carefully collected in the last decade of August and the first two weeks of September. After careful selection of grapes undergoes a soft pressing. After the fermentation process begins excerpts - wine is on the lees for 4 months in steel tanks. After bottling, the wine spends another 2 months in the cellar of the winery.",,999,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW1198AD,WWW1198,Cloudy Bay  Chardonnay,White Wine,Pale straw with green hues.,Chardonnay,New Zealand,,,,,Cloudy Bay,Chardonnay,Medium,Medium,Low,"[""fruit"",""oak"",""floral"",""mineral""]",Chicken|Fish|Seafood|Vegetables,0.727,"<h3>Winemaker Notes</h3>
<p>Impressive in its youth, this is a wine to watch. A complex nose offers layers of white peach, spring florals and well integrated smoke. The palate is richly textured with fleshy stonefruit and lemon citrus. Our 2013 chardonnay is mouthfilling yet balanced with fresh acidity giving it shape and focus. An elegant wine with a lingering and lively finish</p>","<div class=""prod-desc""><p><h3>Winemaker Notes</h3>
<p>Impressive in its youth, this is a wine to watch. A complex nose offers layers of white peach, spring florals and well integrated smoke. The palate is richly textured with fleshy stonefruit and lemon citrus. Our 2013 chardonnay is mouthfilling yet balanced with fresh acidity giving it shape and focus. An elegant wine with a lingering and lively finish</p></p></div>",,2035,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW1256AE,WWW1256,Cantina Terlano  Gewurztraminer DOC,White Wine,"Full, intensive straw yellow.",Gewurztraminer,Italy,,,,,Cantina Terlano,Gewürztraminer,Medium,Low,Low,"[""fruit"",""floral"",""mineral""]",Chicken|Fish|Seafood|Spicy Food,0.887,"full, intensive straw yellow in color. The stimulating aroma of the Gewürztraminer is reminiscent of lychee and mango with
delicate notes of honeysuckle. The aromatic spectrum also includes notes of rose petal, which
are typical of this variety.  The unique quality of the aromatic character of the wine is continued on the palate,
with fresh fruit and lively acidity combining with mineral notes to leave a very round and at
the same time firm impression.","<div class=""prod-desc"">
<p>Cantina Terlano Gewurztraminer DOC</p>
<p>""Named after the winemaking village of Tramin in the South Tyrolean Unterland, Gew&uuml;rztraminer is a familiar item in the region's white wine repertoire. With its floral fruitiness and highly aromatic components, this wine has a devoted following and is especially appreciated as an accompaniment to Asian dishes."" Rudi Kofler</p>
<p>Taste</p>
<p>The unique quality of the aromatic character of the wine is continued on the palate, with fresh fruit and lively acidity combining with mineral notes to leave a very round and at the same time firm impression.</p>
<p>Simple pairings</p>
<p>A good match with spicy dishes and sweet and sour creations with an Asian touch, squash gnocchi and creamed squash soup, as well as boiled ham with horseradish sauce, sweet and sour wok vegetables with chicken breast strips or shrimps, and wiener schnitzel with potato salad.</p>
</div>",,1620,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW1341AC,WWW1341,Delheim  Chenin Blanc,White Wine,Light green tint on the hue.,Chenin Blanc,South Africa,,,,,Delheim,Chenin Blanc,Medium,High,Low,"[""fruit"",""herbal""]",Chicken|Fish|Seafood|Spicy Food,0.847,"Light green tint on the hue. Aromas of white- and yellow peaches, guava and pineapple. The fresh acidity and abundance of
clean fruit flavours lead to a well balanced palate. Green melon
flavours round off the lingering finish.","<div class=""prod-desc"">
<p>Light green tint on the hue. Aromas of white- and yellow peaches, guava and pineapple. The fresh acidity and abundance of
clean fruit flavours lead to a well balanced palate. Green melon
flavours round off the lingering finish.</p>
</div>",,799,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW1433BN,WWW1433,Peter Michael  Chardonnay Belle Cote,White Wine,Straw yellow with green hue.,Chardonnay,USA,,,,,Peter Michael,Chardonnay,Medium,Medium,Low,"[""fruit"",""spice"",""oak"",""floral"",""mineral""]",Chicken|Fish|Seafood|Vegetables,0.847,"Noticeably intense and powerfully hedonistic aromas of lychee nut, citrus, rose petal and orange blossom come to mind with a distinct background of mineral, bergamot orange, yellow peach, nutmeg, whole nut and toasted almond. The mouthfeel is weighty and rich creating a creamy, seamless palate. Notes of brioche and pain grillé coupled with crisp natural acidity make for a wonderfully balanced finish. The 2009 Belle Cote is already expressive and will continue to develop its unique character for at least a decade.","<div class=""prod-desc"">
<p>Noticeably intense and powerfully hedonistic aromas of lychee nut, citrus, rose petal and orange blossom come to mind with a distinct background of mineral, bergamot orange, yellow peach, nutmeg, whole nut and toasted almond. The mouthfeel is weighty and rich creating a creamy, seamless palate. Notes of brioche and pain grillé coupled with crisp natural acidity make for a wonderfully balanced finish. The 2009 Belle Cote is already expressive and will continue to develop its unique character for at least a decade.</p>
</div>",,5039,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW1595BN,WWW1595,Pegasus Bay  Riesling,White Wine,Pale straw yellow,Riesling,Germany,,,,,Pegasus Bay,Riesling,Light,High,Low,"[""fruit"",""oak"",""mineral""]",Chicken|Fish|Seafood|Spicy Food|Vegetables,0.887,"The bouquet and flavour suggest peaches, apricots, lychees, frangipani, honeysuckle and mandarin. It is concentrated and mouth filling with a backbone of minerality and tangy acidity that complements it’s off dry finish and draws out its length. With careful cellaring it should develop a complex range of other nuances and live for a decade or more.","<div class=""prod-desc"">
<p>HARVEST AND WINE MAKING</p>
<p>We use traditional Burgundian winemaking methods. After picking in mid-late-April, the grapes, without their stems, were put into small fermenting vats, retaining as many whole berries as possible. They were kept cool over the next few days to help extract the soft, silky tannins from their skins. After this time the grapes had warmed enough to start fermenting. During fermentation the floating cap of grape skins was twice daily gently pushed back under the wine by hand to keep it moist and healthy. When the fermentation finished the vats were sealed and the grape remnants were left to steep in the wine for several weeks to help extract other tannins which add structure and depth. The duration of this period was determined by daily tasting. Subsequently the wine was drained off and put into oak barriques (30% new) from selected artisan Burgundian coopers. In the summer after harvest, when the weather warmed, the wine underwent malo-lactic (secondary) fermentation. Both this and the original fermentation phase were completely natural and without added micro-organisms. After maturing for 18 months in barriques the batches made from the many different plots of pinot were carefully blended in various portions according to taste to produce this wine.</p>
</div>",,1269,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW1669CH,WWW1669,Mcguigan  Black Label Chardonnay,White Wine,Pale golden,Chardonnay,Australia,,,,,McGuigan,Chardonnay,Medium,Medium,Low,"[""fruit"",""oak""]",Chicken|Fish|Seafood|Vegetables,0.857,"Pale golden, Aroma is Apricot and white peach with a touch of honey. On The Palate A soft, smooth creamy palate, with sweet tropical fruit and melon flavours and only a touch of caramel oak. This wine Food Pairing A versatile wine which makes a great accompaniment to most food, in particular cream based pasta and succulent roast chicken dishes.","Pale golden, Aroma is Apricot and white peach with a touch of honey. On The Palate A soft, smooth creamy palate, with sweet tropical fruit and melon flavours and only a touch of caramel oak. This wine Food Pairing A versatile wine which makes a great accompaniment to most food, in particular cream based pasta and succulent roast chicken dishes.",,499,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW1724AC,WWW1724,Signus  Crisp White (Sauvignon Blanc) (Fruit wine blend),White Wine,Pale yellow,Sauvignon Blanc,Chile,,,,,Wine,Sauvignon Blanc,Medium,High,Low,"[""fruit"",""herbal"",""floral""]",Fish|Seafood|Spicy Food|Vegetables,0.847,"<p><strong><span style=""color: #ff0000;"">*Minimum Qty Allowed in Shopping Cart 6 Bottles.</span></strong></p>
<p>This Sauvignon Blanc always winner it&rsquo;s the perfect reflect of our compromise with the quality, bright, clean and clear yellow in colour. Fine, intense floral aromas stand out on the nose, mingled with citrus notes of grapefruit and subtle touches of green apple. Floral and fruit notes remerge on the palate, accompanied by a balanced acidity and unique freshness that nakes it a pleasing all occasion wine.</p>","<div class=""prod-desc"">
<p>This Sauvignon Blanc always winner it's the perfect reflect of our compromise with the quality, bright, clean and clear yellow in colour. Fine, intense floral aromas stand out on the nose, mingled with citrus notes of grapefruit and subtle touches of green apple. Floral and fruit notes remerge on the palate, accompanied by a balanced acidity and unique freshness that nakes it a pleasing all occasion wine.</p>
</div>",,399,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW1821AD,WWW1821,Kendall Jackson  Vintner's Reserve Chardonnay,White Wine,Pale straw yellow.,Chardonnay,USA,,,,,Kendall Jackson,Chardonnay,Full,Medium,Low,"[""fruit""]",Chicken|Mushroom|Fish|Seafood|Vegetables,0.847,"America's #1 selling Chardonnay for 24 years and counting! It's no wonder Vintner's Reserve Chardonnay is our most popular release. Handcrafted in small vineyard lots throughout the entire winemaking process, our grapes are from California’s cool, coastal growing regions. Vintner's Reserve Chardonnay is fruit-forward, divinely complex, approachable and exceptionally food-friendly.","<div class=""prod-desc"">
<p>WINERY HISTORY</p>
<p>""When my family and I founded Kendall-Jackson in 1982, we simply wanted to create extraordinary wine from California's best vineyards."" -JESS JACKSON, Founder</p>
<p>Ours is as much the story of a winery as it is the story of one man, his family and a dream. In 1974, our founder Jess Jackson, famously bought an 80-acre pear and walnut orchard in rural Lakeport, California, where he planned to try his hand at creating wine from some of his favorite varietals while on weekends away from his successful career as a San Francisco attorney. ""I was attracted by the lifestyle,"" Jess said. ""I wanted to get away from law and become a farmer.""</p>
<p>By the early 1980s, Jess and his growing family had transformed the orchard into a working winery that produced grapes Jess sold to other wineries. During a fateful harvest in 1980, a large order from another winery was cancelled, and Jess was stuck with a bumper crop of unused grapes: from this the first bottle of Kendall-Jackson was produced. This first bottling, the 1982 Vintner's Reserve, garnered attention for its unique bright fruitiness. It was an immediate, if modest, hit. Though Jess and his family shipped less than 20,000 cases of that legendary '82 Vintner's Reserve Chardonnay, the release went on to become the most popular Chardonnay in America. In 1983, Vintner's Reserve Chardonnay won the first Double Platinum Award ever presented by the American Wine Competition, and has gone on to win accolades year after year.</p>
<p>Now, almost three decades later, Kendall-Jackson Winery produces an array of super-premium wines whose quality, taste and integrity embody the very spirit of our founder's mission. In Jess Jackson's own words, ""We grow grapes on our own 15,000 acres of California coastal vineyards. We take the no-compromise, high road approach to quality required to grow our world-class grapes and produce acclaimed award-winning wines.""</p>
</div>",,999,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
WWW1836DH,WWW1836,Domaine Albert Mann  Pinot Gris,White Wine,"Bright, deeper yellow.",Pinot Gris,France,,,,,Domaine Albert Mann,Pinot Grigio,Light,High,Low,"[""fruit""]",Mushroom|Soft Cheese|Seafood|Vegetables,0.847,"Bright, deeper yellow. The honeyed/roast nut aromas draw you in and then there is a lick of spicy pineapple. Full and rich on the palate with a touch of honey sweetness filling out the flavours and adding to the texture. For a wine with such lovely power it dances lightly on the finish!","<div class=""prod-desc"">
<p>Bright, deeper yellow. The honeyed/roast nut aromas draw you in and then there is a lick of spicy pineapple. Full and rich on the palate with a touch of honey sweetness filling out the flavours and adding to the texture. For a wine with such lovely power it dances lightly on the finish!</p>
</div>",,1699,validated,2,74,29,15,15,5,10,wine,region; vintage,desc_en_short too long (> 200 chars); Missing region; Missing vintage for wine product
