sku,name,classification,country,region,subregion,short_description,description,updated_at,magento_readiness,quality_blockers,quality_warnings,current_validation_status,enrichment_quality_grade,review_priority,popularity_revenue_90d,popularity_orders_90d,wn_stock
LWH0433AE,Michter's  US*1 Sour Mash (700 ml),Whisky,USA,Kentucky,Kentucky,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,region_equals_subregion,needs_review,,HIGH,0,0,0
LWH0449BU,Singleton  Of Dufftown 12 Year Old (700 ml),Wine product,Scotland,Speyside,Dufftown,,Singleton  Of Dufftown 12 Year Old (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,0
LWH0455CN,Bushmills  Original Irish Whiskey (700 ml),Whisky,Ireland,County Antrim,Bushmills,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,needs_review,,HIGH,0,0,0
LWH0459CN,Bushmills  Single Malt aged 21 years (700 ml),Whisky,Ireland,County Antrim,Bushmills,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,needs_review,,HIGH,0,0,0
LWH0487BU,Copper Dog  Whisky (700 ml),Whisky,Scotland,Speyside,Speyside,"Speyside blended whisky with honeyed warmth, oak influence, and subtle smoke—approachable yet layered.","<p>Copper Dog is a Speyside blended whisky offering accessible complexity through a balanced interplay of honey-forward primary character, vanilla and oak cask influence, and layered spice notes. The medium-full body and moderate tannin structure support both neat enjoyment and mixing applications. Typical of the Speyside region, the spirit carries a gentle smoke undertone and dark fruit complexity that emerges with time in glass, making it suitable for both casual sipping and food pairing contexts.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,C,HIGH,0,0,0
LWH0506CN,The Glenrothes  12 Years Old (700 ml),Whisky,Scotland,Speyside,Speyside,"Rothes glen springs filtered through volcanic bedrock; slow half-rate distillation through boiling-ball stills; first-fill Jerez sherry butts; no caramel, no chill-filtration.","<p>When The Glenrothes pioneered vintage-dated single malt releases in 1993 under Berry Bros. &amp; Rudd — treating Scotch maturation with the same vintage logic applied to Burgundy — it established a philosophy the distillery still honours in spirit if not in format: <strong>maturity over age</strong>. The 12 Year Old is the entry point into that doctrine under Edrington's stewardship since 2017.</p><p>The distillery sits in a sheltered glen beside the Burn of Rothes at the foot of the Mannoch Hills, drawing water exclusively from <strong>four private on-estate springs</strong> naturally filtered through volcanic bedrock — a production rarity that contributes mineral clarity to the new make. Fermentation runs <strong>50–60 hours</strong> in a combination of Oregon pine and stainless steel washbacks, building the fruity ester profile that defines the house character.</p><p>Distillation proceeds at <strong>approximately half the flow rate</strong> of comparable Speyside operations through tall copper pot stills fitted with oversized boiling balls, maximising reflux and producing a bright, estery spirit. Only the hearts cut — less than ~20% of total distillate — enters maturation, predominantly in <strong>first-fill sherry-seasoned butts (European and American oak, sourced from Jerez, up to 700 L)</strong> held in traditional dunnage warehouses. Bottled at <strong>40% ABV, natural colour, non-chill-filtered</strong>.</p><p>The on-site cooperage — one of very few operating within a Scottish distillery — repairs approximately 6,000 casks annually, giving Glenrothes direct control over cask quality that most Speyside peers outsource entirely.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,A,HIGH,0,0,0
LWH0522AA,Jim Beam  Apple Kentucky Straight Bourbon Whiskey (700 ml),Whisky,USA,Kentucky,Kentucky,"Approachable Kentucky bourbon with bright apple character, vanilla oak, and smooth caramel finish—ideal for casual sipping.","<p>Jim Beam Apple Kentucky Straight Bourbon Whiskey blends the brand's classic bourbon foundation with natural apple flavoring, creating an accessible, fruit-forward spirit. The nose leads with bright apple and subtle vanilla oak; the palate delivers smooth caramel, grain sweetness, and gentle spice, finishing clean and approachable. Designed for versatility—neat, on the rocks, or in mixed drinks—this expression appeals to bourbon newcomers and casual drinkers seeking familiar, easy-drinking character without complexity.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,B,HIGH,0,0,0
LWH0544AD,The Dalmore  12 Years Old (700 ml),Wine product,Scotland,Highlands,East Highlands,,The Dalmore  12 Years Old (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,0
LWH0546AD,Tamnavulin  Double Cask Speyside single Malt Scotch Whisky (700 ml),Wine product,Scotland,Scotland,Speyside,,Tamnavulin  Double Cask Speyside single Malt Scotch Whisky (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,0
LWH0551CN,Bushmills  Single Malt aged 12 years (700 ml),Whisky,Ireland,County Antrim,Bushmills,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,needs_review,,HIGH,0,0,0
LWH0554BU,Lagavulin  8 Years (700 ml),Wine product,Scotland,Islay,Islay,"Lagavulin Bay, Islay: 95%-filled stills, 9-hour spirit run, 48% ABV — the 8 Year Old built to expose raw phenolic density before oak softens it.","<p>The <strong>8 Year Old</strong> was conceived as a deliberate provocation: where Lagavulin's 16 Year Old allows ex-bourbon and sherry butts to round the distillery's notoriously heavy new-make over time, this expression cuts that conversation short — bottled at <strong>48% ABV</strong> after only eight years to expose the distillery character in its most unmediated form. That character originates at <strong>Lagavulin Bay, Kildalton Coast, southern Islay</strong>, where dunnage warehouses sit directly on the shoreline, saturating maturing spirit with Atlantic iodine and sea-spray that landlocked peers cannot replicate. Water flows from <strong>Lochan Sholum</strong>, approximately 200 m above sea level, through peat-rich hillside beds before reaching the distillery — arriving brown, mineral, and phenol-laden. The production signature is a deliberate inversion of industry logic: wash stills filled to <strong>~95% capacity</strong> (versus the 80–85% industry norm) combined with the slowest double distillation on Islay — first run ~5 hours, spirit run <strong>up to 9 hours</strong> — suppresses copper contact and locks in dense tarry congeners. Downward-facing lyne arms compound the effect. Barley is peated to <strong>35–38 PPM phenols</strong> at Port Ellen Maltings. What makes this expression categorically unusual: at eight years, the <strong>ex-bourbon refill casks</strong> have barely begun to tame the oily, phenolic new-make, making this the closest any standard Lagavulin release comes to the raw distillate itself — Lapsang Souchong smoke, coastal brine, and tar at full intensity.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,validated,A,HIGH,0,0,0
LWH0557EQ,Cutty Sark  Prohibition Blended Scotch Whisky (700 ml),Wine product,Scotland,Speyside,Speyside,,Cutty Sark  Prohibition Blended Scotch Whisky (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,region_equals_subregion,validated,,HIGH,0,0,0
LWH0588CN,Wild Turkey  Russell's Reserve 10 Years Old (750 ml),Whisky,USA,Kentucky,Kentucky,"Kentucky bourbon aged 10 years with rich vanilla oak, spice, and tobacco complexity—a full-bodied sipper for meat and smoke.","<p>Wild Turkey Russell's Reserve 10 Years Old is a full-bodied Kentucky straight bourbon showcasing the brand's signature high-rye mashbill character. A decade of maturation in charred American oak barrels develops pronounced vanilla and caramel notes, supported by warming spice and hazelnut undertones. The palate reveals layers of dark fruit and oak influence, while extended aging introduces subtle tobacco and leather complexity that lingers on the finish.</p><p>This expression balances approachability with depth, making it equally suited to neat sipping or as the foundation of a premium cocktail.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,B,HIGH,0,0,0
LWH0597AH,Tamdhu  12 Year Old Speyside Single Malt Whisky (700 ml),Whisky,Scotland,Speyside,Speyside,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,region_equals_subregion,needs_review,,HIGH,0,0,0
LWH0598AH,Tamdhu  15 Year Old Speyside Single Malt Whisky (700 ml),Whisky,Scotland,Speyside,Speyside,"Speyside single malt with honeyed warmth, oak maturity, and layered spice complexity from 15 years in cask.","<p>Tamdhu 15 Year Old is a Speyside single malt whisky representing the classic profile of Scotland's most celebrated whisky region. Fifteen years of maturation in oak imparts a medium-full body with balanced structure, delivering honeyed sweetness and vanilla warmth as primary impressions. Secondary cask influence introduces oak, hazelnut, and warming spice, while tertiary age complexity reveals smoke, dried fruit, and subtle leather notes. The whisky exhibits medium acidity and tannin, characteristic of well-aged malt spirits, making it approachable yet sophisticated for both casual enjoyment and food pairing.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,B,HIGH,0,0,0
LWH0630AD,Lower East Side  Blended Malt Scotch Whisky (700 ml),Wine product,Scotland,,,,Lower East Side  Blended Malt Scotch Whisky (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,0
LWH0632AF,Glen Moray  Classic Sherry Cask Finish Single Malt Whisky (700 ml),Wine product,Scotland,Speyside,Elgin,,Glen Moray  Classic Sherry Cask Finish Single Malt Whisky (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,0
LWH0638BU,Woodford Reserve  Rye (750 ml),Whisky,USA,Kentucky,Kentucky,"Kentucky rye whisky with bold spice, vanilla oak, and caramel depth—a versatile sipper for meat-forward dining.","<p>Woodford Reserve Rye is a Kentucky straight rye whisky crafted with a high-rye mash bill, delivering a distinctive spice-forward profile balanced by rich oak maturation. The nose opens with rye grain spice, black pepper, and subtle caramel sweetness from extended barrel aging. On the palate, vanilla and toasted oak provide a creamy mid-palate, followed by layers of cinnamon, dried fruit, and leather that develop with time in glass. The finish is warm and lingering, with persistent spice and a touch of oak tannin. A versatile spirit suited to neat sipping, on the rocks, or as the foundation for classic whisky cocktails.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,C,HIGH,0,0,0
LWH0649EQ,Lambay  Blended Malt Irish whiskey (700 ml),Whiskey,Ireland,Dublin,Dublin,,Lambay  Blended Malt Irish whiskey (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,region_equals_subregion,validated,,HIGH,0,0,0
LWH0658FK,Jura  Seven Wood Single Malt Scotch Whisky (700 ml),Wine product,Scotland,Jura,Inner Hebrides,,Jura  Seven Wood Single Malt Scotch Whisky (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,0
LWH0666CN,Glen Grant  Single Malt Whisky Arboralis (700 ml),Whisky,Scotland,Speyside,Speyside,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,region_equals_subregion,needs_review,,HIGH,0,0,0
LWH0667CN,The Macallan  15 Year Old Double Cask (700 ml),Whisky,Scotland,Speyside,Speyside,"Easter Elchies Estate, Speyside: 15 years in sherry-seasoned European & American oak, natural colour, no E150a — the Double Cask's richer, rounder counterpoint to the Sherry Oak.","<p>Alexander Reid founded The Macallan in 1824 as a barley farmer's enterprise, and the distillery's defining obsession — controlling oak from Spanish forest to filled cask — remains unmatched in Speyside. The <strong>Double Cask 15 Year Old</strong> is the direct expression of that philosophy: a vatting of <strong>sherry-seasoned European oak</strong> (Oloroso-seasoned, sourced from Galicia, Asturias, and Cantabria, air-dried and coopered before 18 months of sherry seasoning in Jerez) and <strong>sherry-seasoned American oak</strong>, both categories selected and managed by Macallan's own cooperage programme.</p><p>The spirit itself is shaped upstream of the cask: the <strong>3,900-litre spirit stills</strong> — deliberately squat, cast from death masks of the original historic stills by Forsyths of Rothes — limit copper-vapour contact and produce a heavy, oily new make dense enough to absorb 15 years of sherry-oak influence without losing structural weight. Fermentation runs <strong>55–60 hours</strong> in 35,000-litre stainless washbacks, targeting a wash of ~9.5% ABV. Bottled at <strong>43% ABV with natural colour only</strong> — no E150a added, all amber derived from wood.</p><p>What separates the Double Cask from the Sherry Oak range is the American oak component: it introduces a lighter, vanilla-inflected sweetness that rounds the dried-fruit density of the European sherry casks, producing a more approachable 15-year profile without sacrificing the signature oily weight. No vintage date applies — this is a non-vintage vatted malt drawn from on-site maturation across 16 dunnage and 35 racked warehouses at Easter Elchies.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,A,HIGH,0,0,0
LWH0668CN,The Macallan  18 Year Old Double Cask (700 ml),Whisky,Scotland,Speyside,Speyside,"Easter Elchies Estate, Speyside: 18 years in sherry-seasoned European & American oak, natural colour, no E150a — the Double Cask's rarer, richer proposition.","<p>Alexander Reid founded The Macallan in 1824 as a barley farmer who understood that grain was only the beginning — the real investment was wood. Nearly two centuries later, that conviction is codified in a cask programme so upstream-integrated that the distillery controls oak sourcing, stave air-drying, coopering, and sherry-seasoning from Galician forest to filled cask before a single drop of spirit is committed to barrel. <strong>The 18 Year Old Double Cask</strong> is the product of that system applied over nearly two decades: a vatting of <strong>sherry-seasoned European oak</strong> (Oloroso-seasoned Spanish casks, staves air-dried ~1 year, seasoned 18 months in Jerez) and <strong>sherry-seasoned American oak</strong>, both cask types working in tandem to layer dried-fruit density against a lighter, vanilla-threaded counterpoint. The new make itself is engineered for this kind of long maturation: <strong>24 squat spirit stills of just 3,900 litres each</strong> — craft-distillery scale, deliberately replicated from death-cast moulds of the original stills — limit copper contact and produce a heavier, oilier spirit that absorbs decades of sherry-oak influence without dissolving. What distinguishes the Double Cask from the Sherry Oak sibling at the same age statement is precisely that American-oak thread: it softens the Oloroso-driven dried-fruit mass with a brighter, citrus-edged warmth, producing a profile of Medjool date, stem ginger, dark chocolate, and orange zest. <strong>Natural colour only; no added caramel (E150a).</strong> At 18 years, this is the expression where the Easter Elchies warehouses — 16 dunnage and 35 racked — finally deliver on the full promise of the cask-first philosophy.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,A,HIGH,0,0,0
LWH0712AH,Smokehead  Sherry Bomb Islay Single Malt Scotch Whisky (700 ml),Whisky,Scotland,Islay,Islay,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,region_equals_subregion,needs_review,,HIGH,0,0,0
LWH0981CN,Wild Turkey  Aged 8 Years Bourbon Whisky (700 ml),Whisky,USA,Kentucky,Kentucky,"Kentucky bourbon aged 8 years with vanilla oak, caramel, and spice—a full-bodied classic for neat sipping or cocktails.","<p>Wild Turkey Aged 8 Years is a full-bodied Kentucky bourbon delivering core corn sweetness balanced by vanilla and caramel oak influence. Secondary notes of black pepper and spice emerge mid-palate, while tertiary leather and dried fruit complexity develop with time in glass. A versatile spirit suited to neat appreciation, on the rocks, or as a foundation for classic whiskey cocktails.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,C,HIGH,0,0,0
LWH0982CN,Wild Turkey  Aged 12 Years Bourbon Whisky (700 ml),Whisky,USA,Kentucky,Kentucky,"Kentucky bourbon aged 12 years with rich vanilla oak, warming spice, and deep caramel complexity.","<p>Wild Turkey Aged 12 Years is a full-bodied Kentucky bourbon delivering mature depth and balance. The palate opens with prominent vanilla and oak character from extended barrel contact, supported by warming spice and hazelnut notes. Mid-palate reveals caramel sweetness and dark fruit complexity, while the finish carries smoke and cocoa undertones. A versatile premium bourbon suited to neat sipping or classic cocktails.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,B,HIGH,0,0,0
LWH0983CN,Kyoto Whisky  Aka-Obi (700 ml),Whisky,Japan,Kyoto,Kyoto,"Japanese whisky with balanced oak, vanilla, and spice—approachable yet complex.","<p>Kyoto Whisky Aka-Obi is a Japanese whisky crafted with attention to traditional distillation and maturation. The spirit opens with prominent oak and vanilla notes from cask aging, supported by dark fruit undertones that provide depth and character. Mid-palate reveals layers of smoke and warming spice, with hazelnut adding textural complexity. The finish carries cocoa and subtle tobacco notes, creating a rounded, contemplative dram suitable for sipping neat or with a touch of water to unlock additional nuance.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,C,HIGH,0,0,0
LWH1014CN,The Macallan  Classic Cut Whisky (700 ml),Whisky,Scotland,Speyside,Speyside,"Easter Elchies Estate's annual limited release: non-chill-filtered, natural colour, higher-ABV cut from hand-selected sherry-seasoned oak — no two editions identical.","<p>The Classic Cut is The Macallan's annual limited release designed to expose what the distillery's 'curiously small' 3,900-litre spirit stills actually produce before standard bottling parameters intervene — released at a higher ABV than the core range, non-chill-filtered, with natural colour derived entirely from cask. No E150a. No dilution to a house style. The spirit originates at Easter Elchies Estate on the north-west slopes of the River Spey valley near Craigellachie, Moray, where alluvial soils and on-site spring water feed a 17-tonne lauter mash tun and 21 stainless-steel washbacks running approximately 55–60-hour fermentations to ~9.5% ABV wash. The squat still geometry — deliberately replicated from 'death masks' of the original stills cast by Forsyths — limits copper-vapour contact, producing a heavier, oilier new make than any other major Speyside distillery. <strong>Maturation is in sherry-seasoned European and American oak casks</strong>, sourced through Macallan's vertically integrated wood programme: Galician and Cantabrian oak air-dried for ~one year, coopered in Spain, seasoned for 18 months in Jerez with Oloroso sherry before first fill. What distinguishes Classic Cut from every other Macallan expression is the annual variation in ABV and cask selection ratio — each edition is a deliberate snapshot rather than a consistent house blend, making it the only Macallan release that changes its technical specification year to year by design.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,A,HIGH,0,0,0
LWH1025BU,The Glenlivet  Licensed Dram (700 ml),Wine product,Scotland,Speyside,Ballindalloch,,The Glenlivet  Licensed Dram (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,0
LWH1029EQ,ET.51  Premium Whisky 10 Year (700 ml),Spirit,Canada,Canada,,,ET.51  Premium Whisky 10 Year (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,missing_subregion,needs_attention,,HIGH,0,0,0
LWH1064AA,Laphroaig  Quarter Cask Islay Single Malt Scotch Whisky (700 ml),Whisky,Scotland,Islay,Islay,"Laphroaig Quarter Cask: non-chill-filtered at 48% ABV, aged in smaller casks for 30% greater oak contact — Islay's most medicinal smoke, amplified.","<p>Founded in 1815 by Donald and Alexander Johnston on the south shore of Islay, Laphroaig remains the only Scotch distillery to hold a Royal Warrant from King Charles III — a distinction earned not by diplomacy but by the sheer singularity of what comes off these stills. The distillery sits directly on Loch Laphroaig, its shoreline warehouses close enough to receive tidal Atlantic spray at high water, contributing a saline maritime dimension that is structurally unreplicable elsewhere. Process water is drawn from the Kilbride Stream, which runs over deep Islay peat bogs before reaching the mash tun. <strong>Quarter Cask is bottled at 48% ABV and is explicitly non-chill-filtered</strong>, preserving the full texture of a spirit shaped by an asymmetric still configuration — three tall-necked wash stills maximising reflux, four spirit stills with a narrow constricting section engineered to slow distillation and lock in tarry, medicinal phenolics. Barley is kilned over hand-cut Islay peat at low temperature, producing the signature iodine-and-tar character that separates Laphroaig from its Kildalton neighbours. <strong>The Quarter Cask format uses smaller barrels, delivering approximately 30% greater oak surface-to-spirit contact than a standard ex-Bourbon barrel</strong> — accelerating the integration of American white oak vanilla without softening the phenolic core. This is the only expression in the core range that deliberately compresses maturation geometry rather than extending time.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,A,HIGH,0,0,0
LWH1068AD,Tamnavulin  Sherry Cask Edition Single Malt Scotch Whisky (700 ml),Wine product,Scotland,Jerez,Speyside,,Tamnavulin  Sherry Cask Edition Single Malt Scotch Whisky (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,0
LWH1069AD,The Irishman  The Harvest Irish Whiskey (700 ml),Wine product,Ireland,Ireland,Midleton,,The Irishman  The Harvest Irish Whiskey (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,0
LWH1076CN,The Gladstone Axe - The Black Axe Blended Malt Scotch Whisky (700 ml),Whisky,Scotland,Highland,,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,missing_subregion,needs_review,,HIGH,0,0,0
LWH1088CN,The Macallan  The Harmony Collection Amber Meadow (700 ml),Whisky,Scotland,Speyside,Speyside,Easter Elchies Estate Speyside malt shaped by The Macallan's upstream-integrated cask programme — sherry-seasoned oak from Galician forest to filled cask.,"<p>The Harmony Collection Amber Meadow is drawn from The Macallan's Easter Elchies Estate on the north-west slopes of the River Spey valley near Craigellachie — a 485-acre alluvial-soil site where on-site spring water feeds the mash and the distillery's own barley has historically been grown. The Harmony Collection is designed around natural, renewable materials, with the packaging derived from apple pomace — a deliberate sustainability statement that anchors each release to a specific botanical theme rather than an age statement or vintage.</p><p>The spirit is produced in <strong>24 famously squat spirit stills of just 3,900 litres each</strong> — craft-distillery scale replicated at industrial volume — a deliberate design choice to maximise copper restriction, yielding a heavier, oilier new make built to absorb extended sherry-cask maturation. Maturation draws on The Macallan's vertically integrated cask programme: <strong>sherry-seasoned European and American oak casks</strong>, with Galician and Asturian staves air-dried and coopered before seasoning in Jerez, giving the distillery control from forest to filled cask that no Speyside peer matches. <strong>Natural colour only — no E150a</strong>; all amber depth is cask-derived.</p><p>What distinguishes Amber Meadow within the Harmony series is its emphasis on lighter, floral sherry-oak character — dried apple, meadow blossom, and warm ginger spice — rather than the darker dried-fruit density of the core Sherry Oak range, making it the most approachable and seasonally distinct expression in the collection. No age statement; drinking window is now through the near term.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,A,HIGH,0,0,0
LWH1109BU,The Deacon  Blended Scotch Whisky (700 ml),Wine product,Scotland,,,,The Deacon  Blended Scotch Whisky (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,0
LWH1122CN,Wild Turkey  Bourbon Whiskey (1 L),Whisky,USA,Kentucky,Kentucky,"Full-bodied Kentucky bourbon with vanilla oak, caramel sweetness, and warming spice—a versatile American classic.","<p>Wild Turkey is a full-bodied Kentucky straight bourbon whiskey with a robust, warming profile. The nose and palate lead with vanilla and oak character from barrel maturation, followed by caramel sweetness and layered spice notes. Mid-palate develops hazelnut and dark fruit complexity, while the finish carries smoke, cocoa, and a lingering warmth typical of higher-proof bourbon. A straightforward, approachable expression suited to neat sipping, cocktails, or pairing with grilled meats and smoked fare.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,C,HIGH,0,0,0
LWH1123CN,Bruichladdich  18 Aged Years Old Whisky (700 ml),Whisky,Scotland,Islay,Islay,"Unpeated Islay 18YO from the 2004 first-ever Islay-grown barley harvest — bottled at 50% ABV, no chill-filtration, no colouring.","<p>The <strong>Bruichladdich Eighteen</strong> released in 2024 carries a landmark provenance: the barley distilled into this whisky was harvested in <strong>2004</strong>, the first year Bruichladdich commercially grew grain on Islay itself — a terroir programme borrowed deliberately from fine wine and unprecedented in modern Scotch production. That single decision, to name the farm, the field, and the harvest year on the bottle, reframes this as an agricultural document as much as a spirit.</p><p>The distillery sits at near sea level on the <strong>western shore of Loch Indaal, Rhinns of Islay</strong>, where flat, brick-built dunnage warehouses and the Atlantic-maritime Gulf Stream climate enforce slow, gradual maturation under high humidity. Reduction water flows from the <strong>Octomore Farm spring</strong>, filtered through ancient Lewisian gneiss — a high-silica source unique to the island — lending a mineral precision to the final spirit.</p><p>Production runs entirely by gravity and hand: wort fermented in <strong>six Oregon Pine wooden washbacks</strong> for deliberately extended fermentation, then double-distilled through <strong>unusually tall, narrow-necked 6-metre spirit stills</strong> that maximise copper reflux for a clean, barley-forward new make. Maturation is <strong>primarily ex-Bourbon cask</strong>, bottled at <strong>50% ABV</strong> with <strong>no chill-filtration and no caramel colouring</strong>.</p><p>The special feature: this is an <strong>unpeated Islay single malt</strong> — the anomaly of an island defined globally by peat smoke — aged 18 years and bottled at full flavour-carrying strength, with fully traceable single-farm barley provenance that no peer in Scotch whisky matches at this age tier.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,A,HIGH,0,0,0
LWH1127AD,Elijah Craig  Toasted Barrel (750 ml),Wine product,USA,Kentucky,Kentucky Bourbon Belt,,Elijah Craig  Toasted Barrel (750 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,0
LWH1136ES,Prakaan  Single Malt Whisky Tribura Series Peated Malt (700 ml),Wine product,Thailand,,,,Prakaan  Single Malt Whisky Tribura Series Peated Malt (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,0
LWH1137ES,Prakaan  Single Malt Whisky Tribura Series Double Cask (700 ml),Wine product,Thailand,Chiang Mai,Northern Thailand,,Prakaan  Single Malt Whisky Tribura Series Double Cask (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,0
LWH1139EI,Sober Spirits  Whisky Non-Alcoholic Beverage (500 ml),Wine product,France,,,,Sober Spirits  Whisky Non-Alcoholic Beverage (500 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,0
LWH1140DD,Lingyun  Singlemalt Whisky Sherry Cask (700 ml),Wine product,China,Jerez,,,Lingyun  Singlemalt Whisky Sherry Cask (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,missing_subregion,validated,,HIGH,0,0,0
LWH1141DD,Lingyun  Singlemalt Whisy Cognac Cask (700 ml),Wine product,China,Charente,Cognac,,Lingyun  Singlemalt Whisy Cognac Cask (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,0
LWH1145CN,Lark  Tasmanian Peated Single Malt (500 ml),Whisky,Australia,Tasmania,Tasmania,"Tasmanian peated single malt with smoke, dark fruit, and warming spice—a full-bodied spirit for contemplative sipping.","<p>Lark Tasmanian Peated Single Malt is a full-bodied Australian whisky defined by its distinctive peat character. The spirit opens with prominent smoke and dark fruit notes, supported by vanilla and oak from cask maturation. Secondary layers reveal warming spice and cocoa complexity, while tertiary development introduces leather and subtle earth tones. The medium acidity and tannin structure provide balance and length, making this a contemplative dram suited to evening enjoyment or pairing with rich, smoky cuisine.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,C,HIGH,0,0,0
