supplier_code,supplier_name,supplier_detail,pricing_structure,drive_bucket_name,drive_supplier_folder_name,drive_supplier_folder_url,profile_status,input_file_type,latest_sample_file,automation_confidence,normalization_readiness,blocker_or_risk,recommended_solution,master_sku_metric_code,master_sku_count,master_top_brands,sample_skus,match_coverage_status,match_coverage_pct,match_coverage_note
GT,RD Wine Consulting,RD Wine Consulting (Consignment),,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",GT,48,Joseph Mellot (7); Maison Jaffelin (6); Torbreck (6); Karthäuserhof (5); Chateau Boyd-Cantenac (2),WRW5548GT; WRW6294GT; WRW6511GT; WRW6512GT; WRW6513GT; WRW6516GT,after_normalized_csv,,Requires extracted normalized supplier rows.
GV,"K.R.INTERTRADE 2017 CO.,LTD","K.R.INTERTRADE 2017 CO.,LTD",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",GV,5,Palmila (3); Marchile (2),WWW5910GV; WRW6540GV; WRW6541GV; WRW6542GV; WWW5911GV,after_normalized_csv,,Requires extracted normalized supplier rows.
HC,Vim&Vigor,Vim&Vigor (Consignment),,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",HC,21,Blue Moon Siam Paragon (18); Enjoy It (3),WSP8910HC; WRW7006HC; WWW6026HC; LWF0001HC; LWF0002HC; LWF0003HC,after_normalized_csv,,Requires extracted normalized supplier rows.
HC-CEL,เซเลสเทียร์,เซเลสเทียร์ (Consignment),,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",HC,21,Blue Moon Siam Paragon (18); Enjoy It (3),WSP8910HC; WRW7006HC; WWW6026HC; LWF0001HC; LWF0002HC; LWF0003HC,after_normalized_csv,,Requires extracted normalized supplier rows.
HE,บริษัท วินเนอร์โฮม จำกัด,บริษัท วินเนอร์โฮม จำกัด (Consignment),,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",HE,2,KAO HOM (2),LWS0001HE; LWS0002HE,after_normalized_csv,,Requires extracted normalized supplier rows.
HF,Onson,Onson (Consignment),,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",HF,8,Onson (8),LWS0003HF; LWS0004HF; LWS0006HF; LWS0005HF; LWS0007HF; LWS0008HF,after_normalized_csv,,Requires extracted normalized supplier rows.
WN,Wine-now,Wine-now,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",WN,17,Chateau de la Vieille Tour (2); chateau Pericou (1); Chateau La Croix d'Hourquet (1); Vinum Terra (1); Chateau La Gasquerie (1),WRW6184WN; WRW6185WN; WRW6186WN; WRW6187WN; WRW6188WN; WRW6554WN,after_normalized_csv,,Requires extracted normalized supplier rows.
AC,Universal Fine Wine & Spirit,Universal Fine Wine & Spirit,rsp_price,1.RSP PRICE,Universal Wine (Update),https://drive.google.com/drive/folders/1Xyku5M2wf-uXgmBDzYqIe8d-Bm4PyoX4,profiled_pdf,pdf,PDF.pdf,low,draft_extract_then_review,PDF extraction is not deterministic enough for direct database update.,PDF catalogue parser can draft rows from Size/Region/Product Type/price blocks. Human review required before SKU/cost/RSP update because item codes are not visible.,AC,426,Duckhorn (21); Francis Coppola (12); Freixenet (11); Altivo (11); Danese (11),WDW0003AC; WRW0008AC; WRW0020AC; WRW0022AC; WRW0037AC; WRW0061AC,after_normalized_csv,,Requires extracted normalized supplier rows.
AD,IWS,IWS,rsp_price,1.RSP PRICE,IWS (Update RSP / waiting Pricelist),https://drive.google.com/drive/folders/1SVb4AaB2WmsrDpWuZwurcIEgfTakDv_f,profiled_pdf,pdf,Corporate Price List May 26.pdf,medium,draft_extract_then_review,PDF extraction is not deterministic enough for direct database update.,PDF table extractor can draft rows using code-prefixed lines and repeated header blocks. Treat asterisk special-condition marker and multi-line ratings as notes. Product admin review required before import.,AD,715,Penfolds (51); Concha Y Toro (35); Wolf Blass (32); De Bortoli (20); Castello Banfi (17),WRW0002AD; WRW0012AD; WRW0021AD; WRW0025AD; WRW0033AD; WRW0034AD,after_normalized_csv,,Requires extracted normalized supplier rows.
AE,Gfour,Gfour,rsp_price,1.RSP PRICE,Gfour,https://drive.google.com/drive/folders/1bjvhxfrl8j_7diJJUgYSLJgL8UaKsOgg,profiled_pdf,pdf,Spanish and New World Wine (trade)Full_compressed.pdf,medium,draft_extract_then_review,PDF extraction is not deterministic enough for direct database update.,"PDF block extractor across all files in latest folder. Use item code and product description, preserve region/grape/stock notes. Product admin review required due PDF ordering and multi-file source.",AE,403,Giffard (56); Bitter Truth (17); Lost Distillery (14); Massenez (12); Massolino (10),LVK0033AE; LTQ0113AE; LTQ0112AE; LTQ0111AE; WRW1709AE; LWH0136AE,after_normalized_csv,,Requires extracted normalized supplier rows.
AH,Ambrose,Ambrose,rsp_price,1.RSP PRICE,Ambrose (Update),https://drive.google.com/drive/folders/1PSwToctW_fY7OzLSI3Sjk8wtw_3DgWgo,profiled_pdf,pdf,Winenow price lsit UPDATE.pdf,medium,draft_extract_then_review,PDF extraction is not deterministic enough for direct database update.,"PDF table parser can draft reliable rows from item-code line pattern, then validate RSP incl/excl VAT and margin.",AH,190,Robert Mondavi (17); Hardys (16); Montes (16); San Pedro (13); Kaiken (11),WWW0079AH; WRW0187AH; WWW0080AH; WWW0096AH; WRW0203AH; WRW0207AH,after_normalized_csv,,Requires extracted normalized supplier rows.
BU,Suriwongse Store,Suriwongse Store (OTHER),retail_cash_store,3.Retail Supplier (Cash on store),Surawong Store (Update),https://drive.google.com/drive/folders/1diYjYahAM85D0MEktJGkYg2CBytY8uWX,profiled_pdf,pdf,ใบราคา1.5.69 ราคาที่2 (1).pdf,medium,draft_extract_then_review,PDF extraction is not deterministic enough for direct database update.,"PDF line parser can draft rows by matching category/product/size/pack/price pattern, but needs human review for line breaks and missing item codes.",BU,526,Johnnie Walker (70); Hennessy (41); Jacob's Creek (28); Absolut (22); Jack Daniel's (19),LTQ0015BU; LTQ0007BU; LTQ0006BU; LWH0028BU; LWH0030BU; LWH0031BU,after_normalized_csv,,Requires extracted normalized supplier rows.
BU(2),Suriwongse Store,Suriwongse Store (OTHER),retail_cash_store,3.Retail Supplier (Cash on store),Surawong Store (Update),https://drive.google.com/drive/folders/1diYjYahAM85D0MEktJGkYg2CBytY8uWX,profiled_by_shared_folder,pdf,ใบราคา1.5.69 ราคาที่2 (1).pdf,medium,draft_extract_then_review,PDF extraction is not deterministic enough for direct database update.,Use Surawong PDF parser with BU variant rules.,BU,526,Johnnie Walker (70); Hennessy (41); Jacob's Creek (28); Absolut (22); Jack Daniel's (19),LTQ0015BU; LTQ0007BU; LTQ0006BU; LWH0028BU; LWH0030BU; LWH0031BU,after_normalized_csv,,Requires extracted normalized supplier rows.
BU(4),Suriwongse Store,Suriwongse Store (Pernod Ricard),retail_cash_store,3.Retail Supplier (Cash on store),Surawong Store (Update),https://drive.google.com/drive/folders/1diYjYahAM85D0MEktJGkYg2CBytY8uWX,profiled_by_shared_folder,pdf,ใบราคา1.5.69 ราคาที่2 (1).pdf,medium,draft_extract_then_review,PDF extraction is not deterministic enough for direct database update.,Use Surawong PDF parser with Pernod Ricard brand/category filters.,BU,526,Johnnie Walker (70); Hennessy (41); Jacob's Creek (28); Absolut (22); Jack Daniel's (19),LTQ0015BU; LTQ0007BU; LTQ0006BU; LWH0028BU; LWH0030BU; LWH0031BU,after_normalized_csv,,Requires extracted normalized supplier rows.
BU(9),Suriwongse Store,Suriwongse Store (Brown-Forman),retail_cash_store,3.Retail Supplier (Cash on store),Surawong Store (Update),https://drive.google.com/drive/folders/1diYjYahAM85D0MEktJGkYg2CBytY8uWX,profiled_by_shared_folder,pdf,ใบราคา1.5.69 ราคาที่2 (1).pdf,medium,draft_extract_then_review,PDF extraction is not deterministic enough for direct database update.,Use Surawong PDF parser with Brown-Forman brand/category filters.,BU,526,Johnnie Walker (70); Hennessy (41); Jacob's Creek (28); Absolut (22); Jack Daniel's (19),LTQ0015BU; LTQ0007BU; LTQ0006BU; LWH0028BU; LWH0030BU; LWH0031BU,after_normalized_csv,,Requires extracted normalized supplier rows.
FS,SK Liquor,SK Liquor,no_rsp_price,2. NO RSP PRICE,SK Liqour (Update),https://drive.google.com/drive/folders/1yp0g4ree4q3qyiufOchutbWS4wWsfosX,profiled_pdf,pdf,SK WINE PRice List2026-2(1).pdf,low,draft_extract_then_review,PDF extraction is not deterministic enough for direct database update.,"Do not auto-commit from PDF extraction. First build PDF-to-draft extractor that proposes rows, then require human normalized CSV approval.",FS,138,Hakutsuru (18); Santa Helena (10); Kunizakari (9); Château Clerc Milon (7); Hakutake (7),WRW0062FS; WWW0271FS; WRW0545FS; WRW0554FS; WWW0270FS; WRW1005FS,after_normalized_csv,,Requires extracted normalized supplier rows.
AC2,"EU Wine Co.,Ltd.","EU Wine Co.,Ltd.",rsp_price,1.RSP PRICE,EU Wine,https://drive.google.com/drive/folders/12WBo4skWfRlqPx6rzzLE4CfU5zrKgPpc,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",AC,426,Duckhorn (21); Francis Coppola (12); Freixenet (11); Altivo (11); Danese (11),WDW0003AC; WRW0008AC; WRW0020AC; WRW0022AC; WRW0037AC; WRW0061AC,after_normalized_csv,,Requires extracted normalized supplier rows.
AE4,Brandconnect Thailand,Brandconnect Thailand,rsp_price,1.RSP PRICE,Brandconnect,https://drive.google.com/drive/folders/10OSWAhI7Kl1eBME65GLvthNXckXAIbsg,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",AE,403,Giffard (56); Bitter Truth (17); Lost Distillery (14); Massenez (12); Massolino (10),LVK0033AE; LTQ0113AE; LTQ0112AE; LTQ0111AE; WRW1709AE; LWH0136AE,after_normalized_csv,,Requires extracted normalized supplier rows.
AJ,Lovely Wine,Lovely Wine,no_rsp_price,2. NO RSP PRICE,Lovely Wine (Update),https://drive.google.com/drive/folders/1bYggkGN36p6TtN0DVKXTUlK0NDdO4IYI,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",AJ,196,Finca Flichman (8); Frank Family (7); Merryvale (7); Layer Cake (6); Staglin Family (6),WRW2227AJ; WRW2228AJ; WWW1404AJ; LWH0360AJ; LWH0362AJ; LWH0363AJ,after_normalized_csv,,Requires extracted normalized supplier rows.
AR,SCS Trading,SCS Trading,no_rsp_price,2. NO RSP PRICE,SCS (E-Shochu) (Update),https://drive.google.com/drive/folders/10aq3LGmAodYuEiGareKsHCW3IyNcXPV-,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",AR,106,Kobe Shu Shin Kan (10); Kamotsuru (9); Asamai (9); Komasa Jyozo (8); Niwa no Uguisu (8),LSK0008AR; LSK0009AR; LSK0012AR; LSK0011AR; LSK0013AR; LSK0015AR,after_normalized_csv,,Requires extracted normalized supplier rows.
AU2,Smiling Dark House,Smiling Dark House,rsp_price,1.RSP PRICE,Smiling Dark House (Wine),https://drive.google.com/drive/folders/1Uod9OZ0q3D-YUfzNEtisWIy-_fyK4Ik7,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",AU,74,Brew Dog (7); Evil Twin Brewing (6); Santa Julia (6); St.Bernardus (5); Brothers Cider (5),LBE0119AU; LBE0117AU; LBE0118AU; LBE0123AU; LBE0120AU; LBE0200AU,after_normalized_csv,,Requires extracted normalized supplier rows.
BN,"IQ Wine CO.,Ltd.","IQ Wine CO.,Ltd.",no_rsp_price,2. NO RSP PRICE,IQ Wine (Update),https://drive.google.com/drive/folders/1SqN1pWUtWXTf-_BjlFpQW1OCYRENQBCP,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",BN,362,Montgras (16); Louis Roederer (14); Dominus Estate (10); Echeverria (10); Maison Verget (10),WRW2494BN; WRW1381BN; WRW1382BN; WRW1384BN; WRW1389BN; WRW2493BN,after_normalized_csv,,Requires extracted normalized supplier rows.
BS,"Texica Co., Ltd","Texica Co., Ltd (Head Office)",no_rsp_price,2. NO RSP PRICE,Texica (Update),https://drive.google.com/drive/folders/1BKwmGgu8snTWswNNz7OexU7fUH8cqmxa,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",BS,151,Bottega (32); Alexander (9); Masseria Li Veli (9); Marchesi Di Barolo (8); Cristo Di Campobello (7),WRW1309BS; WRW1310BS; WRW1311BS; WSP1084BS; WSP1085BS; WSP1089BS,after_normalized_csv,,Requires extracted normalized supplier rows.
BU(11),Somphop Liquor,Somphop Liquor,retail_cash_store,3.Retail Supplier (Cash on store),Somphop (Update),https://drive.google.com/drive/folders/1IzXabQt-KXgAO8rJBV8bGvima3WjkA0Y,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",BU,526,Johnnie Walker (70); Hennessy (41); Jacob's Creek (28); Absolut (22); Jack Daniel's (19),LTQ0015BU; LTQ0007BU; LTQ0006BU; LWH0028BU; LWH0030BU; LWH0031BU,after_normalized_csv,,Requires extracted normalized supplier rows.
BU(8),ห้างหุ้นส่วน แฉล้มนิมิต,ห้างหุ้นส่วน แฉล้มนิมิต (Diageo),retail_cash_store,3.Retail Supplier (Cash on store),Chalamnimit (Update),https://drive.google.com/drive/folders/1I-6ugxQ7ooFXkRuBixSKcFb9Icmnm7Hg,pending_profile,pdf,,pending,needs_profile,Folder is known but file content has not been profiled.,Inspect latest supplier file and decide spreadsheet parser vs PDF draft extractor.,BU,526,Johnnie Walker (70); Hennessy (41); Jacob's Creek (28); Absolut (22); Jack Daniel's (19),LTQ0015BU; LTQ0007BU; LTQ0006BU; LWH0028BU; LWH0030BU; LWH0031BU,after_normalized_csv,,Requires extracted normalized supplier rows.
CB,"Boozia Distribution Co., Ltd.","Boozia Distribution Co., Ltd.",no_rsp_price,2. NO RSP PRICE,Boozia (Update),https://drive.google.com/drive/folders/1JplHIz1pDTHUJoNF_BfU7xDvN_gHAFnd,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",CB,173,Luigi Bosca (11); Bodegas Volver (9); Domaine Jaume (9); Apollonio (9); Fratelli Ponte (9),WSP1174CB; WRW3177CB; LGN0053CB; WRW4353CB; WRW4354CB; WRW4355CB,after_normalized_csv,,Requires extracted normalized supplier rows.
CH,Siam Winery,Siam Winery,rsp_price,1.RSP PRICE,Siam Winery (Update),https://drive.google.com/drive/folders/1VoaBu04pnlRcr1l-O6MRQjeVaicvWVQz,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",CH,97,Monsoon Valley (12); Mcguigan (11); Yellow Tail (10); Vina Maipo (6); Mar Y Sol (5),WWW1665CH; WRW3117CH; WWW1666CH; WRS0096CH; WRW3118CH; WWW1667CH,after_normalized_csv,,Requires extracted normalized supplier rows.
CN,Alchemy Thailand,Alchemy Thailand,rsp_price,1.RSP PRICE,Alchemy (Update),https://drive.google.com/drive/folders/1fRGM7zt27No5H_ugwE5Um_lvKPpnIMSv,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",CN,298,The Macallan (22); Bols (20); Remy Martin (14); Bruichladdich (12); Wild Turkey (11),LRM0002CN; LRM0003CN; LBD0009CN; LBD0008CN; LBD0007CN; LBD0006CN,after_normalized_csv,,Requires extracted normalized supplier rows.
CP,Somphop Liquor,Somphop Liquor,retail_cash_store,3.Retail Supplier (Cash on store),Somphop (Update),https://drive.google.com/drive/folders/1IzXabQt-KXgAO8rJBV8bGvima3WjkA0Y,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",CP,59,Dead Man's Finger (13); Whitley Neill (10); J.J.Whitley (5); Liverpool (5); West Cork (4),WSP1213CP; WSP1225CP; WSP1226CP; LGN0090CP; LGN0091CP; LGN0092CP,after_normalized_csv,,Requires extracted normalized supplier rows.
CQ,"Jiggers Co.,Ltd.","Jiggers Co.,Ltd.",no_rsp_price,2. NO RSP PRICE,Jigger,https://drive.google.com/drive/folders/1mWaGWrzhpaTLazdBJBiB13O6g5Wus20e,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",CQ,141,Jiggers (141),ABA0135CQ; ABA0136CQ; ABA0137CQ; ABA0138CQ; ABA0139CQ; ABA0141CQ,after_normalized_csv,,Requires extracted normalized supplier rows.
DB,Bacchus Global,Bacchus Global,no_rsp_price,2. NO RSP PRICE,Bacchus Global (Update),https://drive.google.com/drive/folders/1lcLbXnkvH4jObUswnvxnfiFGWjq5_re8,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",DB,180,BORN (17); Shichiken (13); Kagoshima Brewery (10); Kokubu Brewery (9); Umeshu (9),LWH0243DB; LWH0244DB; LWH0245DB; LWH0246DB; LWH0247DB; LWH0248DB,after_normalized_csv,,Requires extracted normalized supplier rows.
DD,Noble Marketing,Noble Marketing,rsp_price,1.RSP PRICE,Noble Marketing,https://drive.google.com/drive/folders/1-UNmG3vstrxkPdRMAwwdnQMBZDJ0Nf2Z,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",DD,247,Angove (35); Viu Manent (22); Los Cerros De San Juan (18); Aromo (16); Antigal (12),WRW1359DD; WRW3265DD; WRW3284DD; WRW3301DD; WRW3302DD; WRW3304DD,after_normalized_csv,,Requires extracted normalized supplier rows.
DD(2),Noble Marketing,Noble Marketing (Consignment),rsp_price,1.RSP PRICE,Noble Marketing,https://drive.google.com/drive/folders/1-UNmG3vstrxkPdRMAwwdnQMBZDJ0Nf2Z,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",DD,247,Angove (35); Viu Manent (22); Los Cerros De San Juan (18); Aromo (16); Antigal (12),WRW1359DD; WRW3265DD; WRW3284DD; WRW3301DD; WRW3302DD; WRW3304DD,after_normalized_csv,,Requires extracted normalized supplier rows.
DG,Premium Thai Brand Co.Ltd,Premium Thai Brand Co.Ltd,rsp_price,1.RSP PRICE,Bootlegger (Premium Thai Brand) (Update),https://drive.google.com/drive/folders/1cUk7TLqafMc4OxVCni-1OMOKO1LVbPHO,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",DG,177,Nikka (17); Plantation (15); Kavalan (13); St. George (10); Chalong Bay (7),LRM0037DG; LLQ0243DG; LLQ0244DG; LLQ0245DG; LRM0083DG; LRM0085DG,after_normalized_csv,,Requires extracted normalized supplier rows.
DH,Estella Company Limited,Estella Company Limited,no_rsp_price,2. NO RSP PRICE,Estella Wine,https://drive.google.com/drive/folders/1uen8PmYnblV3pDTFSqK9ifi3Li9MKvqu,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",DH,225,Domaine Albert Mann (8); Domaine Huet (7); Marchesi Di Gresy (6); Radikon (6); 2Naturkinder (6),WRW3482DH; WWW1843DH; WRW3481DH; WWW1842DH; WSP1266DH; WSP1267DH,after_normalized_csv,,Requires extracted normalized supplier rows.
DJ,"Wine 5 Co.,Ltd.","Wine 5 Co.,Ltd.",no_rsp_price,2. NO RSP PRICE,Wine 5 (Update),https://drive.google.com/drive/folders/17AjBk_s9xNmsm65kY74iF8lVO96iB1n2,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",DJ,398,Domaine Georges Noellat (21); Domaine Jean Fery & Fils (19); Philipponnat Royal (17); Domaine Pierre Girardin (16); Albert Bichot (14),WRW3753DJ; WRW3754DJ; WRW3755DJ; WRW3756DJ; WRW3769DJ; WRW3771DJ,after_normalized_csv,,Requires extracted normalized supplier rows.
DJ(2),"Wine 5 Co.,Ltd.","Wine 5 Co.,Ltd. (Consignment)",no_rsp_price,2. NO RSP PRICE,Wine 5 (Update),https://drive.google.com/drive/folders/17AjBk_s9xNmsm65kY74iF8lVO96iB1n2,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",DJ,398,Domaine Georges Noellat (21); Domaine Jean Fery & Fils (19); Philipponnat Royal (17); Domaine Pierre Girardin (16); Albert Bichot (14),WRW3753DJ; WRW3754DJ; WRW3755DJ; WRW3756DJ; WRW3769DJ; WRW3771DJ,after_normalized_csv,,Requires extracted normalized supplier rows.
DR,IWS - Bacardi,IWS - Bacardi (Thailand),rsp_price,1.RSP PRICE,Bacardi,https://drive.google.com/drive/folders/1LUS232nfIitUpgQaeFuBKkNPbvZ_mA6-,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",DR,58,Dewar's (9); Bacardi (7); Martini (7); Patron (7); Grey Goose (7),LWH0326DR; LWH0044DR; LWH0327DR; LLQ0079DR; LRM0116DR; LLQ0318DR,after_normalized_csv,,Requires extracted normalized supplier rows.
DW,T/A Beverage,T/A Beverage,no_rsp_price,2. NO RSP PRICE,TA Beverage (Update),https://drive.google.com/drive/folders/1ck8ikuAZ0gJZy5d_X2t95-XtUarvwcTy,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",DW,85,Castelli del Grevepesa (11); Bodega Volcanes de Chile (10); Gapsted (9); Phelps Creek (5); Kessler-Zink (4),WRW0097DW; WRW3129DW; WRW3937DW; WRW3938DW; WRW3939DW; WRW3941DW,after_normalized_csv,,Requires extracted normalized supplier rows.
EF,Primal Product,Primal Product,no_rsp_price,2. NO RSP PRICE,Primal Product (Update),https://drive.google.com/drive/folders/1ZiUqqK9s-RuIVbrwMzlph-qEPszDMFpj,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",EF,11,Champagne Lallier (2); Domaine Attilon (2); Chateau Couhins (1); Chateau Latour Martillac (1); Chateau La Fleur (1),WSP1565EF; WSP1566EF; WRS0145EF; WRW4564EF; WRW4571EF; WRW4572EF,after_normalized_csv,,Requires extracted normalized supplier rows.
EG,Wine Direct,Wine Direct (Thailand),no_rsp_price,2. NO RSP PRICE,Wine Direct (Update),https://drive.google.com/drive/folders/1VW8RetcPJBbekfDmOmOsBZAqzrboykAl,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",EG,47,Piper-Heidsieck (17); Charles heidsieck (7); Riondo (4); Allart & Fils (3); Louis Roederer (2),WSP0062EG; WSP1077EG; WSP1082EG; WSP1242EG; WSP1485EG; WSP1297EG,after_normalized_csv,,Requires extracted normalized supplier rows.
EI,Pinnacle Gastro,Pinnacle Gastro,rsp_price,1.RSP PRICE,Pinnacle gastro (Update),https://drive.google.com/drive/folders/1LXcIsFohH0o1VzMH_iPsw1OH-2eK9ys3,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",EI,12,Sober Spirits (5); French Bloom (4); Chavin (2); Winesave (1),ABA0350EI; WSP5749EI; WSP5750EI; WSP5751EI; WSP5752EI; WWW5443EI,after_normalized_csv,,Requires extracted normalized supplier rows.
ER,Magic Potion Ltd.,Magic Potion Ltd.,rsp_price,1.RSP PRICE,Magic Postion (Update),https://drive.google.com/drive/folders/1iB7-riCua_15DHWrTJxrIyk744oAVSQX,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",ER,130,Rock Rose (16); Buss 509 (11); Wolfburn (10); Pierde Almas (8); Casa Maestri (6),LGN0119ER; LGN0120ER; LGN0121ER; LGN0122ER; LGN0123ER; LGN0124ER,after_normalized_csv,,Requires extracted normalized supplier rows.
ER2,Vinelentine,Vinelentine,no_rsp_price,2. NO RSP PRICE,Valentien Wine (Update),https://drive.google.com/drive/folders/1gUeQdDx5PQfHwGsa5nJwSmNCq_7aj5gB,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",ER,130,Rock Rose (16); Buss 509 (11); Wolfburn (10); Pierde Almas (8); Casa Maestri (6),LGN0119ER; LGN0120ER; LGN0121ER; LGN0122ER; LGN0123ER; LGN0124ER,after_normalized_csv,,Requires extracted normalized supplier rows.
ES,Thai Beverage,Thai Beverage,rsp_price,1.RSP PRICE,Thaibev,https://drive.google.com/drive/folders/1Uvj_EhRdnFDqSJP3SqLXnAI17oHoXey-,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",ES,32,Old Pulteney (7); Balblair (5); Phraya (4); Prakaan (4); AnCnoc (3),LWH0470ES; LWH0471ES; LWH0472ES; LWH0473ES; LWH0474ES; LWH0475ES,after_normalized_csv,,Requires extracted normalized supplier rows.
FC,Valentine Wines,Valentine Wines,no_rsp_price,2. NO RSP PRICE,Valentien Wine (Update),https://drive.google.com/drive/folders/1gUeQdDx5PQfHwGsa5nJwSmNCq_7aj5gB,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",FC,186,Louis Latour (33); Two Hands (13); Fantinel (10); J. Bouchon (10); M. Chapoutier (8),WRW0468FC; WSP0077FC; WWW0236FC; WWW0238FC; WWW0237FC; WWW0369FC,after_normalized_csv,,Requires extracted normalized supplier rows.
FJ(2),Italthai,Italthai (Consignment),rsp_price,1.RSP PRICE,Italthai (Update),https://drive.google.com/drive/folders/14bFLOa82dqgfwmld9GhHQ-PKkAXK_-Td,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",FJ,169,Georges Duboeuf (14); Albert Bichot (12); Yering (9); Xanadu (5); Messenez Family (5),WWW0282FJ; WRW0591FJ; WWW0285FJ; WWW1947FJ; WRW3917FJ; WRW3919FJ,after_normalized_csv,,Requires extracted normalized supplier rows.
FN,Enoteca,Enoteca,no_rsp_price,2. NO RSP PRICE,Enoteca,https://drive.google.com/drive/folders/1G65O0pB9fD8MsZ8ktoe_3gDRg5agihGj,,,,,needs_profile,Drive folder is mapped but no file parser profile has been learned yet.,"Inspect latest month folder, fetch representative file text, identify headers, then add profile row.",FN,37,Bodega Norton (4); Bellavista (3); Elderton (3); Mount Mary (3); Ottosoldi (2),WSP1142FN; WSP1160FN; WRW3366FN; WWW1788FN; WSP1147FN; WSP1260FN,after_normalized_csv,,Requires extracted normalized supplier rows.
